id_pdv,mes,receita_bruta,receita_liquida,devolucoes,cmv,impostos,comissoes,aluguel,folha,energia,tecnologia,meta_receita,meta_margem,orcamento_mensal,cidade,regiao,canal,metragem_m2,data_abertura,lucro_bruto,despesas_variaveis,despesas_fixas,depreciacao_amortizacao,resultado_financeiro,ebitda,lucro_operacional,ir_csll,lucro_liquido,margem_bruta,margem_operacional,margem_ebitda,margem_liquida,receita_liquida_mes_anterior,var_receita_vs_mes_anterior,flag_margem_abaixo_10,flag_queda_receita_20,flag_ebitda_negativo,score_alerta,driver_principal,prioridade_risco,qtd_recomendacoes,recomendacoes
PDV001,2024-07-01,881338.69,816720.09,64618.61,529908.64,105447.26,40707.15,56536.84,91186.56,10681.56,4338.27,949458.69,0.1008,162639.57,Brasilia,Centro-Oeste,Shopping,111,2019-06-20,286811.44999999995,146154.41,162743.22999999998,4882.296899999999,-12250.80135,-22086.19000000003,-26968.486900000036,0.0,-39219.288250000034,0.351174721317312,-0.0330204769421063,-0.0270425452617432,-0.0480204769421063,,,True,False,True,2,devolucoes_altas,alta,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.
PDV001,2024-08-01,846028.28,786940.61,59087.67,506509.8,103728.65,46260.69,60001.37,95136.28,10773.48,4330.84,896696.18,0.0914,165163.18,Brasilia,Centro-Oeste,Shopping,111,2019-06-20,280430.81,149989.34,170241.97,5107.2591,-11804.10915,-39800.5,-44907.7591,0.0,-56711.86825,0.3563557483708968,-0.0570662620906042,-0.0505762436125897,-0.0720662620906042,816720.09,-0.0364622841590684,True,False,True,2,devolucoes_altas,alta,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.
PDV001,2024-09-01,879193.2,814412.73,64780.47,511694.57,110335.18,51020.87,55573.07,91226.47,10748.39,4413.55,960360.06,0.0681,164165.26,Brasilia,Centro-Oeste,Shopping,111,2019-06-20,302718.16,161356.05,161961.47999999998,4858.844399999999,-12216.19095,-20599.369999999995,-25458.214399999997,0.0,-37674.40534999999,0.3717011643469767,-0.0312595978208739,-0.0252935265390559,-0.0462595978208739,786940.61,0.0349100296145601,True,False,True,2,devolucoes_altas,alta,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.
PDV001,2024-10-01,950327.27,903469.19,46858.08,588081.53,118329.76,55598.1,56769.28,88840.52,10802.54,4572.59,1006777.61,0.082,159817.71,Brasilia,Centro-Oeste,Shopping,111,2019-06-20,315387.6599999999,173927.86,160984.93,4829.5479,-13552.03785,-19525.130000000063,-24354.67790000006,0.0,-37906.71575000006,0.3490851303960901,-0.0269568438742222,-0.0216112848297572,-0.0419568438742222,814412.73,0.1093505255007494,True,False,True,2,devolucoes_altas,alta,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.
PDV001,2024-11-01,940100.57,876958.79,63141.78,591042.42,116994.65,62783.83,59135.14,93536.26,11434.75,4469.77,1028800.32,0.092,172502.34,Brasilia,Centro-Oeste,Shopping,111,2019-06-20,285916.37,179778.47999999998,168575.91999999998,5057.277599999999,-13154.38185,-62438.02999999997,-67495.30759999997,0.0,-80649.68944999998,0.3260317055491284,-0.0769651987865928,-0.0711983626961535,-0.0919651987865929,903469.19,-0.0293428932535042,True,False,True,2,devolucoes_altas,alta,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.
PDV001,2024-12-01,1124970.49,1057006.37,67964.13,704180.69,136110.37,71522.57,58667.44,96590.53,12683.11,4302.18,1171086.0,0.1175,179148.21,Brasilia,Centro-Oeste,Shopping,111,2019-06-20,352825.68000000017,207632.94,172243.26,5167.2978,-15855.095550000002,-27050.519999999844,-32217.817799999844,0.0,-48072.91334999984,0.3337971179870941,-0.0304802494236622,-0.0255916338517428,-0.0454802494236622,876958.79,0.2053090544881819,True,False,True,2,devolucoes_altas,alta,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.
PDV001,2025-01-01,860863.7,805553.96,55309.74,514959.93,104810.85,41043.44,56760.03,93739.03,12924.2,4507.01,918781.59,0.0914,174041.65,Brasilia,Centro-Oeste,Shopping,111,2019-06-20,290594.03,145854.29,167930.27000000002,5037.908100000001,-12083.309399999998,-23190.530000000057,-28228.438100000058,0.0,-40311.747500000056,0.3607381310620085,-0.0350422684285482,-0.0287883011586214,-0.0500422684285482,1057006.37,-0.2378911018294053,True,True,True,3,devolucoes_altas,alta,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.
PDV001,2025-02-01,899185.3,851227.55,47957.75,549553.42,113604.0,41195.44,60006.18,94085.61,12803.11,4412.79,974445.77,0.08,179845.09,Brasilia,Centro-Oeste,Shopping,111,2019-06-20,301674.13,154799.44,171307.69000000003,5139.230700000001,-12768.41325,-24433.00000000003,-29572.23070000003,0.0,-42340.64395000003,0.3543989265854941,-0.0347406879629307,-0.0287032533192799,-0.0497406879629307,805553.96,0.0566983619570315,True,False,True,2,devolucoes_altas,alta,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.
PDV001,2025-03-01,910683.43,853370.66,57312.78,556615.02,110083.49,53037.2,59463.08,91379.82,12352.1,4607.32,978292.07,0.1162,174183.86,Brasilia,Centro-Oeste,Shopping,111,2019-06-20,296755.64,163120.69,167802.32000000004,5034.069600000001,-12800.5599,-34167.370000000024,-39201.43960000003,0.0,-52001.99950000003,0.347745304484689,-0.0459371776386125,-0.0400381353631258,-0.0609371776386125,851227.55,0.0025176699226898,True,False,True,2,devolucoes_altas,alta,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.
PDV001,2025-04-01,959515.61,882301.22,77214.39,588776.84,119079.35,55889.64,61539.32,93364.59,9954.16,4629.62,1040966.69,0.0607,170408.32,Brasilia,Centro-Oeste,Shopping,111,2019-06-20,293524.38,174968.99,169487.69,5084.6307,-13234.5183,-50932.29999999999,-56016.93069999999,0.0,-69251.449,0.3326804648417011,-0.0634895763829953,-0.0577266571160357,-0.0784895763829953,853370.66,0.0339015170734835,True,False,True,2,devolucoes_altas,alta,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.
